# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "8" "-a" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/3.refrence_genome/Phytozome/PhytozomeV13/Zmays/Zm-B73-REFERENCE-NAM-5.0.55/annotation/Zmays_833_Zm-B73-REFERENCE-NAM-5.0.55.gene.gff3" "-F" "GFF" "-t" "gene" "-g" "ID" "-o" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/5.read_counts/gene_counts.txt" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859242_sorted.bam" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859243_sorted.bam" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859244_sorted.bam" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859245_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859242_sorted.bam	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859243_sorted.bam	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859244_sorted.bam	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859245_sorted.bam
Zm00001eb029230.Zm_B73_REFERENCE_NAM_5.0.55	1	158006831	158007169	-	339	0	0	0	0
Zm00001eb029240.Zm_B73_REFERENCE_NAM_5.0.55	1	158010074	158016524	+	6451	0	0	0	0
Zm00001eb029250.Zm_B73_REFERENCE_NAM_5.0.55	1	158206542	158218377	-	11836	1519	1764	1571	1299
Zm00001eb029260.Zm_B73_REFERENCE_NAM_5.0.55	1	158489106	158497246	+	8141	10	20	11	10
Zm00001eb029280.Zm_B73_REFERENCE_NAM_5.0.55	1	158584369	158584665	+	297	2	0	2	0
Zm00001eb029290.Zm_B73_REFERENCE_NAM_5.0.55	1	158645864	158646277	-	414	0	0	0	0
Zm00001eb029300.Zm_B73_REFERENCE_NAM_5.0.55	1	158672333	158676799	-	4467	14	59	21	8
Zm00001eb029320.Zm_B73_REFERENCE_NAM_5.0.55	1	158757439	158757783	-	345	0	0	0	0
Zm00001eb029330.Zm_B73_REFERENCE_NAM_5.0.55	1	158897940	158904572	-	6633	2583	3798	3504	2627
Zm00001eb029350.Zm_B73_REFERENCE_NAM_5.0.55	1	159031173	159031625	-	453	0	0	1	0
Zm00001eb029360.Zm_B73_REFERENCE_NAM_5.0.55	1	159045632	159046084	-	453	0	0	0	0
Zm00001eb029370.Zm_B73_REFERENCE_NAM_5.0.55	1	159089529	159096986	-	7458	24	42	26	18
Zm00001eb029380.Zm_B73_REFERENCE_NAM_5.0.55	1	159276259	159297293	+	21035	184	369	241	217
Zm00001eb029390.Zm_B73_REFERENCE_NAM_5.0.55	1	159344614	159347763	+	3150	4234	4315	3863	3084
Zm00001eb029400.Zm_B73_REFERENCE_NAM_5.0.55	1	159576354	159594582	-	18229	0	0	0	0
Zm00001eb029410.Zm_B73_REFERENCE_NAM_5.0.55	1	159783094	159783792	+	699	322	407	420	275
Zm00001eb029450.Zm_B73_REFERENCE_NAM_5.0.55	1	159869243	159872634	-	3392	73	131	263	115
Zm00001eb029460.Zm_B73_REFERENCE_NAM_5.0.55	1	160028622	160028983	+	362	0	0	2	4
Zm00001eb029470.Zm_B73_REFERENCE_NAM_5.0.55	1	160141431	160143977	-	2547	0	0	0	0
Zm00001eb029480.Zm_B73_REFERENCE_NAM_5.0.55	1	160141562	160143912	+	2351	0	0	0	0
Zm00001eb029490.Zm_B73_REFERENCE_NAM_5.0.55	1	160183765	160189761	-	5997	896	972	1104	803
Zm00001eb029510.Zm_B73_REFERENCE_NAM_5.0.55	1	160189858	160197681	-	7824	757	1129	999	755
Zm00001eb029520.Zm_B73_REFERENCE_NAM_5.0.55	1	160694463	160697872	-	3410	15	34	59	27
Zm00001eb029530.Zm_B73_REFERENCE_NAM_5.0.55	1	160706233	160710253	+	4021	197	210	151	105
Zm00001eb029540.Zm_B73_REFERENCE_NAM_5.0.55	1	160769705	160774269	+	4565	132	230	152	185
Zm00001eb029550.Zm_B73_REFERENCE_NAM_5.0.55	1	160776138	160781395	-	5258	1698	1909	1759	1433
Zm00001eb029560.Zm_B73_REFERENCE_NAM_5.0.55	1	160814888	160818895	-	4008	255	445	386	346
Zm00001eb029570.Zm_B73_REFERENCE_NAM_5.0.55	1	160817334	160821304	+	3971	4	5	6	0
Zm00001eb029580.Zm_B73_REFERENCE_NAM_5.0.55	1	160863893	160878481	+	14589	5551	6278	5345	4273
Zm00001eb029590.Zm_B73_REFERENCE_NAM_5.0.55	1	160890545	160892266	+	1722	142	185	294	277
Zm00001eb029610.Zm_B73_REFERENCE_NAM_5.0.55	1	161130590	161185662	-	55073	64	120	78	51
Zm00001eb029630.Zm_B73_REFERENCE_NAM_5.0.55	1	161241723	161241995	-	273	0	0	0	0
Zm00001eb029640.Zm_B73_REFERENCE_NAM_5.0.55	1	161565284	161570171	+	4888	874	890	1075	854
Zm00001eb029660.Zm_B73_REFERENCE_NAM_5.0.55	1	161673970	161678409	-	4440	557	469	534	394
Zm00001eb029680.Zm_B73_REFERENCE_NAM_5.0.55	1	161858320	161864109	-	5790	362	462	364	269
Zm00001eb029690.Zm_B73_REFERENCE_NAM_5.0.55	1	161998347	162009802	+	11456	112	108	101	90
Zm00001eb029700.Zm_B73_REFERENCE_NAM_5.0.55	1	162087371	162087972	+	602	0	0	0	0
Zm00001eb029710.Zm_B73_REFERENCE_NAM_5.0.55	1	162160055	162166523	+	6469	1568	1875	2334	1774
Zm00001eb029720.Zm_B73_REFERENCE_NAM_5.0.55	1	162166576	162171480	-	4905	792	614	533	463
Zm00001eb029730.Zm_B73_REFERENCE_NAM_5.0.55	1	162311649	162315991	-	4343	1628	1307	1977	1337
Zm00001eb029740.Zm_B73_REFERENCE_NAM_5.0.55	1	162369428	162374720	-	5293	921	1034	878	840
Zm00001eb029750.Zm_B73_REFERENCE_NAM_5.0.55	1	162438918	162439429	+	512	0	0	0	0
Zm00001eb029770.Zm_B73_REFERENCE_NAM_5.0.55	1	162618592	162620659	-	2068	2	0	0	3
Zm00001eb029780.Zm_B73_REFERENCE_NAM_5.0.55	1	163142950	163144540	+	1591	229	302	183	175
Zm00001eb029790.Zm_B73_REFERENCE_NAM_5.0.55	1	163480786	163485564	+	4779	0	0	0	0
Zm00001eb029820.Zm_B73_REFERENCE_NAM_5.0.55	1	163751891	163753008	+	1118	0	0	0	0
Zm00001eb029830.Zm_B73_REFERENCE_NAM_5.0.55	1	163755736	163758958	+	3223	0	0	0	0
Zm00001eb029840.Zm_B73_REFERENCE_NAM_5.0.55	1	163837499	163838270	-	772	0	0	0	0
Zm00001eb029850.Zm_B73_REFERENCE_NAM_5.0.55	1	163962454	163963985	-	1532	2	0	0	3
Zm00001eb029860.Zm_B73_REFERENCE_NAM_5.0.55	1	163983814	164059246	+	75433	0	0	0	2
Zm00001eb029880.Zm_B73_REFERENCE_NAM_5.0.55	1	164225161	164228773	-	3613	0	0	0	0
Zm00001eb029890.Zm_B73_REFERENCE_NAM_5.0.55	1	164295963	164297426	-	1464	0	0	0	0
Zm00001eb029900.Zm_B73_REFERENCE_NAM_5.0.55	1	164329332	164333026	+	3695	0	0	0	0
Zm00001eb029920.Zm_B73_REFERENCE_NAM_5.0.55	1	164348551	164351814	+	3264	0	0	0	0
Zm00001eb029930.Zm_B73_REFERENCE_NAM_5.0.55	1	164352065	164353733	+	1669	0	0	0	0
Zm00001eb029940.Zm_B73_REFERENCE_NAM_5.0.55	1	164399567	164400478	-	912	0	0	0	3
Zm00001eb029950.Zm_B73_REFERENCE_NAM_5.0.55	1	164474122	164475847	+	1726	0	0	0	0
Zm00001eb029960.Zm_B73_REFERENCE_NAM_5.0.55	1	164513282	164515566	+	2285	2583	2427	2098	1580
Zm00001eb029970.Zm_B73_REFERENCE_NAM_5.0.55	1	164521102	164523179	+	2078	130	122	90	120
Zm00001eb029980.Zm_B73_REFERENCE_NAM_5.0.55	1	164561329	164562690	+	1362	70	118	93	59
Zm00001eb029990.Zm_B73_REFERENCE_NAM_5.0.55	1	164736525	164739942	+	3418	515	706	924	592
Zm00001eb030010.Zm_B73_REFERENCE_NAM_5.0.55	1	165030710	165032761	-	2052	388	506	237	218
Zm00001eb030020.Zm_B73_REFERENCE_NAM_5.0.55	1	165129619	165137940	+	8322	0	0	0	0
Zm00001eb030030.Zm_B73_REFERENCE_NAM_5.0.55	1	165140909	165142913	-	2005	385	279	218	236
Zm00001eb030040.Zm_B73_REFERENCE_NAM_5.0.55	1	165142298	165142998	+	701	1	2	0	0
Zm00001eb030050.Zm_B73_REFERENCE_NAM_5.0.55	1	165219404	165223736	-	4333	823	904	1037	793
Zm00001eb030060.Zm_B73_REFERENCE_NAM_5.0.55	1	165412011	165412325	-	315	0	0	0	0
Zm00001eb030070.Zm_B73_REFERENCE_NAM_5.0.55	1	165412438	165413667	+	1230	0	0	0	0
Zm00001eb030080.Zm_B73_REFERENCE_NAM_5.0.55	1	165413439	165414521	-	1083	0	0	0	0
Zm00001eb030090.Zm_B73_REFERENCE_NAM_5.0.55	1	165417506	165420867	+	3362	285	516	609	442
Zm00001eb030110.Zm_B73_REFERENCE_NAM_5.0.55	1	165501867	165504184	-	2318	854	956	842	470
Zm00001eb030120.Zm_B73_REFERENCE_NAM_5.0.55	1	165539950	165540573	-	624	0	0	0	0
Zm00001eb030130.Zm_B73_REFERENCE_NAM_5.0.55	1	165571075	165571966	+	892	0	0	3	4
Zm00001eb030140.Zm_B73_REFERENCE_NAM_5.0.55	1	165575858	165576568	+	711	0	0	0	0
Zm00001eb030150.Zm_B73_REFERENCE_NAM_5.0.55	1	165698753	165699087	+	335	0	0	0	0
Zm00001eb030160.Zm_B73_REFERENCE_NAM_5.0.55	1	165789110	165790573	+	1464	3	2	13	7
Zm00001eb030170.Zm_B73_REFERENCE_NAM_5.0.55	1	165900780	165903171	-	2392	657	432	531	412
Zm00001eb030190.Zm_B73_REFERENCE_NAM_5.0.55	1	165959987	165961321	+	1335	157	86	106	78
Zm00001eb030200.Zm_B73_REFERENCE_NAM_5.0.55	1	166054863	166055219	-	357	0	0	0	0
Zm00001eb030210.Zm_B73_REFERENCE_NAM_5.0.55	1	166138272	166143693	+	5422	3237	3854	4515	2925
Zm00001eb030220.Zm_B73_REFERENCE_NAM_5.0.55	1	166280011	166293970	+	13960	509	469	518	404
Zm00001eb030240.Zm_B73_REFERENCE_NAM_5.0.55	1	166298390	166300037	+	1648	16	6	3	4
Zm00001eb030250.Zm_B73_REFERENCE_NAM_5.0.55	1	166300052	166305189	-	5138	1350	1800	1794	1281
Zm00001eb030260.Zm_B73_REFERENCE_NAM_5.0.55	1	166336067	166340970	-	4904	279	603	707	792
Zm00001eb030280.Zm_B73_REFERENCE_NAM_5.0.55	1	166411566	166414340	-	2775	208	323	245	226
Zm00001eb030300.Zm_B73_REFERENCE_NAM_5.0.55	1	166459736	166468885	+	9150	2582	3241	2994	2216
Zm00001eb030310.Zm_B73_REFERENCE_NAM_5.0.55	1	166612094	166613746	+	1653	76	116	58	60
Zm00001eb030320.Zm_B73_REFERENCE_NAM_5.0.55	1	166616451	166619630	-	3180	0	0	0	0
Zm00001eb030330.Zm_B73_REFERENCE_NAM_5.0.55	1	167063934	167069025	+	5092	0	0	0	1
Zm00001eb030340.Zm_B73_REFERENCE_NAM_5.0.55	1	167147646	167158909	-	11264	216	105	217	273
Zm00001eb030350.Zm_B73_REFERENCE_NAM_5.0.55	1	167185413	167193596	-	8184	0	0	0	0
Zm00001eb030360.Zm_B73_REFERENCE_NAM_5.0.55	1	167324888	167329109	+	4222	0	1	0	0
Zm00001eb030380.Zm_B73_REFERENCE_NAM_5.0.55	1	167852340	167855053	-	2714	10	11	0	3
Zm00001eb030390.Zm_B73_REFERENCE_NAM_5.0.55	1	167987200	167991827	+	4628	3796	4822	3908	2810
Zm00001eb030400.Zm_B73_REFERENCE_NAM_5.0.55	1	168256111	168258578	-	2468	553	834	840	634
Zm00001eb030410.Zm_B73_REFERENCE_NAM_5.0.55	1	168374878	168379292	+	4415	768	1024	821	730
Zm00001eb030420.Zm_B73_REFERENCE_NAM_5.0.55	1	168388226	168394341	+	6116	5221	6334	8119	5475
Zm00001eb030430.Zm_B73_REFERENCE_NAM_5.0.55	1	168441018	168443308	-	2291	349	452	427	445
Zm00001eb030440.Zm_B73_REFERENCE_NAM_5.0.55	1	168512776	168515638	-	2863	3748	4627	5378	4970
Zm00001eb030450.Zm_B73_REFERENCE_NAM_5.0.55	1	168525108	168526284	-	1177	0	0	0	0
Zm00001eb030460.Zm_B73_REFERENCE_NAM_5.0.55	1	168830245	168832990	+	2746	92	88	91	53
Zm00001eb030470.Zm_B73_REFERENCE_NAM_5.0.55	1	168837210	168840801	+	3592	709	825	934	715
Zm00001eb030480.Zm_B73_REFERENCE_NAM_5.0.55	1	168841842	168843709	-	1868	45	60	53	18
Zm00001eb030490.Zm_B73_REFERENCE_NAM_5.0.55	1	168843837	168846849	+	3013	492	424	304	267
Zm00001eb030510.Zm_B73_REFERENCE_NAM_5.0.55	1	168954998	168957929	+	2932	0	4	13	19
Zm00001eb030530.Zm_B73_REFERENCE_NAM_5.0.55	1	168970558	168980107	-	9550	162	326	320	217
Zm00001eb030540.Zm_B73_REFERENCE_NAM_5.0.55	1	169117031	169119417	-	2387	4	0	2	4
Zm00001eb030550.Zm_B73_REFERENCE_NAM_5.0.55	1	169300219	169300936	+	718	264	286	117	219
Zm00001eb030570.Zm_B73_REFERENCE_NAM_5.0.55	1	169301553	169307125	-	5573	1778	1718	1641	1260
Zm00001eb030590.Zm_B73_REFERENCE_NAM_5.0.55	1	169475270	169483094	+	7825	4	11	6	0
Zm00001eb030600.Zm_B73_REFERENCE_NAM_5.0.55	1	169693742	169697162	+	3421	64	73	71	73
Zm00001eb030610.Zm_B73_REFERENCE_NAM_5.0.55	1	169716823	169717068	-	246	0	0	0	0
Zm00001eb030620.Zm_B73_REFERENCE_NAM_5.0.55	1	169749582	169758712	-	9131	0	0	0	0
Zm00001eb030630.Zm_B73_REFERENCE_NAM_5.0.55	1	169868590	169877258	+	8669	186	174	136	118
Zm00001eb030640.Zm_B73_REFERENCE_NAM_5.0.55	1	169896052	169900733	+	4682	5034	5355	5777	3950
Zm00001eb030650.Zm_B73_REFERENCE_NAM_5.0.55	1	169975548	169977924	+	2377	16	16	16	4
Zm00001eb030660.Zm_B73_REFERENCE_NAM_5.0.55	1	170234715	170305324	+	70610	1489	1968	1881	1422
Zm00001eb030670.Zm_B73_REFERENCE_NAM_5.0.55	1	170396488	170398609	-	2122	0	0	0	0
Zm00001eb030680.Zm_B73_REFERENCE_NAM_5.0.55	1	170604526	170610867	+	6342	2407	2410	2043	1850
Zm00001eb030690.Zm_B73_REFERENCE_NAM_5.0.55	1	170611851	170612821	-	971	34	50	16	27
Zm00001eb030700.Zm_B73_REFERENCE_NAM_5.0.55	1	170612013	170612279	+	267	0	0	0	0
Zm00001eb030710.Zm_B73_REFERENCE_NAM_5.0.55	1	170612820	170618024	-	5205	1974	2287	2780	1913
Zm00001eb030720.Zm_B73_REFERENCE_NAM_5.0.55	1	170667152	170671518	+	4367	70	139	112	72
Zm00001eb030730.Zm_B73_REFERENCE_NAM_5.0.55	1	170700349	170707141	+	6793	2983	3066	1436	1172
Zm00001eb030740.Zm_B73_REFERENCE_NAM_5.0.55	1	170701558	170702668	+	1111	0	0	0	0
Zm00001eb030760.Zm_B73_REFERENCE_NAM_5.0.55	1	170708763	170710957	-	2195	171	332	281	213
Zm00001eb030770.Zm_B73_REFERENCE_NAM_5.0.55	1	170762228	170764014	-	1787	0	0	5	0
Zm00001eb030780.Zm_B73_REFERENCE_NAM_5.0.55	1	170762518	170764719	+	2202	27	7	19	13
Zm00001eb030790.Zm_B73_REFERENCE_NAM_5.0.55	1	170820549	170824097	+	3549	1	0	2	3
Zm00001eb030800.Zm_B73_REFERENCE_NAM_5.0.55	1	170825631	170827876	+	2246	24	56	22	8
Zm00001eb030810.Zm_B73_REFERENCE_NAM_5.0.55	1	170828568	170831097	-	2530	0	0	0	1
Zm00001eb030820.Zm_B73_REFERENCE_NAM_5.0.55	1	170830360	170830679	+	320	0	0	0	0
Zm00001eb030830.Zm_B73_REFERENCE_NAM_5.0.55	1	170840364	170843788	+	3425	1	3	2	2
Zm00001eb030840.Zm_B73_REFERENCE_NAM_5.0.55	1	170845399	170847660	+	2262	20	17	20	7
Zm00001eb030850.Zm_B73_REFERENCE_NAM_5.0.55	1	170848019	170856858	-	8840	101	107	117	56
Zm00001eb030860.Zm_B73_REFERENCE_NAM_5.0.55	1	170859869	170861344	+	1476	513	639	487	421
Zm00001eb030870.Zm_B73_REFERENCE_NAM_5.0.55	1	170915113	170920881	+	5769	4532	4511	3985	4168
Zm00001eb030880.Zm_B73_REFERENCE_NAM_5.0.55	1	170953036	170956623	+	3588	445	696	711	500
Zm00001eb030890.Zm_B73_REFERENCE_NAM_5.0.55	1	171126748	171139985	+	13238	1525	1817	1559	1312
Zm00001eb030900.Zm_B73_REFERENCE_NAM_5.0.55	1	171138343	171138857	-	515	0	0	0	0
Zm00001eb030910.Zm_B73_REFERENCE_NAM_5.0.55	1	171160211	171163789	+	3579	0	0	0	0
Zm00001eb030920.Zm_B73_REFERENCE_NAM_5.0.55	1	171170942	171171685	+	744	0	0	0	0
Zm00001eb030930.Zm_B73_REFERENCE_NAM_5.0.55	1	171249074	171255618	+	6545	76	114	168	150
Zm00001eb030940.Zm_B73_REFERENCE_NAM_5.0.55	1	171403792	171405119	-	1328	0	0	0	0
Zm00001eb030950.Zm_B73_REFERENCE_NAM_5.0.55	1	171440973	171451326	+	10354	1817	2053	1872	1593
Zm00001eb030960.Zm_B73_REFERENCE_NAM_5.0.55	1	171539378	171542346	-	2969	167	205	157	134
Zm00001eb030970.Zm_B73_REFERENCE_NAM_5.0.55	1	171808518	171820870	-	12353	2596	2420	2127	1739
Zm00001eb030980.Zm_B73_REFERENCE_NAM_5.0.55	1	171821221	171827556	+	6336	2737	3736	4375	3057
Zm00001eb030990.Zm_B73_REFERENCE_NAM_5.0.55	1	171853294	171855490	-	2197	194	202	145	133
Zm00001eb031010.Zm_B73_REFERENCE_NAM_5.0.55	1	172381457	172386222	+	4766	0	0	0	0
Zm00001eb031020.Zm_B73_REFERENCE_NAM_5.0.55	1	172396169	172400819	+	4651	4	0	0	0
Zm00001eb031030.Zm_B73_REFERENCE_NAM_5.0.55	1	172545889	172548800	+	2912	0	0	0	0
Zm00001eb031040.Zm_B73_REFERENCE_NAM_5.0.55	1	172661598	172663414	-	1817	2	0	2	0
Zm00001eb031050.Zm_B73_REFERENCE_NAM_5.0.55	1	172664186	172665267	-	1082	0	0	0	0
Zm00001eb031060.Zm_B73_REFERENCE_NAM_5.0.55	1	172674634	172675202	-	569	0	0	1	0
Zm00001eb031070.Zm_B73_REFERENCE_NAM_5.0.55	1	172693536	172694266	-	731	0	0	1	0
Zm00001eb031090.Zm_B73_REFERENCE_NAM_5.0.55	1	173451634	173452715	-	1082	3	8	8	10
Zm00001eb031100.Zm_B73_REFERENCE_NAM_5.0.55	1	173776126	173779996	+	3871	29	10	12	37
Zm00001eb031110.Zm_B73_REFERENCE_NAM_5.0.55	1	174030106	174034889	+	4784	146	218	183	156
Zm00001eb031120.Zm_B73_REFERENCE_NAM_5.0.55	1	174228190	174230106	-	1917	0	0	0	0
Zm00001eb031130.Zm_B73_REFERENCE_NAM_5.0.55	1	174237393	174243138	-	5746	169	238	410	230
Zm00001eb031140.Zm_B73_REFERENCE_NAM_5.0.55	1	174325511	174325897	-	387	2	15	2	2
Zm00001eb031150.Zm_B73_REFERENCE_NAM_5.0.55	1	174351872	174355534	-	3663	2657	3507	2619	2115
Zm00001eb031160.Zm_B73_REFERENCE_NAM_5.0.55	1	174354283	174355432	+	1150	0	0	0	0
Zm00001eb031170.Zm_B73_REFERENCE_NAM_5.0.55	1	174524040	174529003	+	4964	412	578	527	286
Zm00001eb031180.Zm_B73_REFERENCE_NAM_5.0.55	1	174543198	174543761	+	564	0	0	0	0
Zm00001eb031190.Zm_B73_REFERENCE_NAM_5.0.55	1	174585559	174587353	+	1795	2107	2643	2248	1886
Zm00001eb031200.Zm_B73_REFERENCE_NAM_5.0.55	1	174620061	174620876	-	816	0	0	0	0
Zm00001eb031210.Zm_B73_REFERENCE_NAM_5.0.55	1	174624195	174629114	+	4920	2420	2849	1248	1503
Zm00001eb031220.Zm_B73_REFERENCE_NAM_5.0.55	1	174730699	174739602	-	8904	5175	5796	6823	4539
Zm00001eb031240.Zm_B73_REFERENCE_NAM_5.0.55	1	174781840	174783163	-	1324	967	929	506	1521
Zm00001eb031250.Zm_B73_REFERENCE_NAM_5.0.55	1	174867434	174891238	+	23805	778	1250	1011	631
Zm00001eb031270.Zm_B73_REFERENCE_NAM_5.0.55	1	174891960	174896884	-	4925	1092	1608	1349	941
Zm00001eb031280.Zm_B73_REFERENCE_NAM_5.0.55	1	175004108	175011105	-	6998	1973	2780	3279	2431
Zm00001eb031290.Zm_B73_REFERENCE_NAM_5.0.55	1	175107594	175115750	-	8157	1771	2706	3314	2798
Zm00001eb031300.Zm_B73_REFERENCE_NAM_5.0.55	1	175286669	175292085	-	5417	697	971	876	699
Zm00001eb031310.Zm_B73_REFERENCE_NAM_5.0.55	1	175316618	175341763	-	25146	1846	2431	2492	1822
Zm00001eb031320.Zm_B73_REFERENCE_NAM_5.0.55	1	175540581	175540934	-	354	0	0	0	0
Zm00001eb031330.Zm_B73_REFERENCE_NAM_5.0.55	1	175547684	175554409	+	6726	3942	4569	3570	3056
Zm00001eb031340.Zm_B73_REFERENCE_NAM_5.0.55	1	175592566	175597421	+	4856	2518	2662	2573	2167
Zm00001eb031350.Zm_B73_REFERENCE_NAM_5.0.55	1	175790952	175840725	+	49774	1	0	0	2
Zm00001eb031360.Zm_B73_REFERENCE_NAM_5.0.55	1	176069535	176073389	+	3855	548	661	1069	686
Zm00001eb031370.Zm_B73_REFERENCE_NAM_5.0.55	1	176076238	176076744	+	507	0	8	4	0
Zm00001eb031390.Zm_B73_REFERENCE_NAM_5.0.55	1	176175335	176178963	+	3629	74	35	34	51
Zm00001eb031400.Zm_B73_REFERENCE_NAM_5.0.55	1	176178733	176184795	-	6063	4010	3832	3779	3025
Zm00001eb031410.Zm_B73_REFERENCE_NAM_5.0.55	1	176244819	176246888	-	2070	931	895	678	673
Zm00001eb031420.Zm_B73_REFERENCE_NAM_5.0.55	1	176251880	176253711	-	1832	5	2	3	1
Zm00001eb031430.Zm_B73_REFERENCE_NAM_5.0.55	1	176260011	176265673	+	5663	1063	1289	1288	883
Zm00001eb031440.Zm_B73_REFERENCE_NAM_5.0.55	1	176275600	176276564	-	965	0	0	0	0
Zm00001eb031450.Zm_B73_REFERENCE_NAM_5.0.55	1	176354092	176354337	+	246	0	0	0	0
Zm00001eb031460.Zm_B73_REFERENCE_NAM_5.0.55	1	176461065	176467179	-	6115	0	0	0	0
Zm00001eb031470.Zm_B73_REFERENCE_NAM_5.0.55	1	176572853	176573098	+	246	0	0	0	0
Zm00001eb031480.Zm_B73_REFERENCE_NAM_5.0.55	1	176591130	176595709	+	4580	0	0	0	0
Zm00001eb031490.Zm_B73_REFERENCE_NAM_5.0.55	1	176622795	176623040	+	246	0	0	0	0
Zm00001eb031500.Zm_B73_REFERENCE_NAM_5.0.55	1	176846939	176851816	-	4878	2	0	0	0
Zm00001eb031510.Zm_B73_REFERENCE_NAM_5.0.55	1	176872245	176880365	-	8121	1223	1783	2085	1465
Zm00001eb031520.Zm_B73_REFERENCE_NAM_5.0.55	1	176880896	176887157	+	6262	1489	2642	3180	1759
Zm00001eb031530.Zm_B73_REFERENCE_NAM_5.0.55	1	176910833	176911689	-	857	0	0	0	0
Zm00001eb031540.Zm_B73_REFERENCE_NAM_5.0.55	1	176923388	176924346	-	959	0	0	0	0
Zm00001eb031550.Zm_B73_REFERENCE_NAM_5.0.55	1	176924488	176924997	+	510	0	0	0	0
Zm00001eb031560.Zm_B73_REFERENCE_NAM_5.0.55	1	176943808	176946543	+	2736	2	0	6	6
Zm00001eb031570.Zm_B73_REFERENCE_NAM_5.0.55	1	176947721	176949798	+	2078	0	0	0	0
Zm00001eb031580.Zm_B73_REFERENCE_NAM_5.0.55	1	176966441	176968222	-	1782	175	344	95	20
Zm00001eb031590.Zm_B73_REFERENCE_NAM_5.0.55	1	176972516	176976798	-	4283	399	339	240	330
Zm00001eb031600.Zm_B73_REFERENCE_NAM_5.0.55	1	177005198	177009048	-	3851	3457	5199	5353	2843
Zm00001eb031610.Zm_B73_REFERENCE_NAM_5.0.55	1	177011864	177017586	-	5723	833	893	842	520
Zm00001eb031620.Zm_B73_REFERENCE_NAM_5.0.55	1	177163222	177167698	-	4477	0	0	0	0
Zm00001eb031630.Zm_B73_REFERENCE_NAM_5.0.55	1	177168480	177170252	-	1773	6	5	2	2
Zm00001eb031640.Zm_B73_REFERENCE_NAM_5.0.55	1	177282030	177286963	+	4934	1517	1956	1608	1394
Zm00001eb031650.Zm_B73_REFERENCE_NAM_5.0.55	1	177288944	177294905	-	5962	2993	3755	2427	2286
Zm00001eb031660.Zm_B73_REFERENCE_NAM_5.0.55	1	177297321	177302535	-	5215	186	293	175	183
Zm00001eb031670.Zm_B73_REFERENCE_NAM_5.0.55	1	177302971	177308680	-	5710	1248	1770	1753	1596
Zm00001eb031680.Zm_B73_REFERENCE_NAM_5.0.55	1	177391299	177393046	+	1748	1041	1314	1230	1024
Zm00001eb031690.Zm_B73_REFERENCE_NAM_5.0.55	1	177395056	177401699	-	6644	521	661	472	423
Zm00001eb031700.Zm_B73_REFERENCE_NAM_5.0.55	1	177503771	177511926	-	8156	969	1217	1737	1219
Zm00001eb031720.Zm_B73_REFERENCE_NAM_5.0.55	1	177511455	177543249	+	31795	0	0	0	0
Zm00001eb031730.Zm_B73_REFERENCE_NAM_5.0.55	1	177737552	177764011	+	26460	592	791	690	558
Zm00001eb031740.Zm_B73_REFERENCE_NAM_5.0.55	1	177764603	177766058	+	1456	0	0	0	4
Zm00001eb031750.Zm_B73_REFERENCE_NAM_5.0.55	1	177764921	177765922	-	1002	0	0	0	0
Zm00001eb031760.Zm_B73_REFERENCE_NAM_5.0.55	1	177940474	177942486	+	2013	7	15	6	2
Zm00001eb031770.Zm_B73_REFERENCE_NAM_5.0.55	1	177987395	177990177	-	2783	0	0	0	0
Zm00001eb031780.Zm_B73_REFERENCE_NAM_5.0.55	1	178092615	178094147	-	1533	0	0	0	0
Zm00001eb031790.Zm_B73_REFERENCE_NAM_5.0.55	1	178101936	178104511	-	2576	1303	1527	1608	1182
Zm00001eb031800.Zm_B73_REFERENCE_NAM_5.0.55	1	178105215	178110733	-	5519	1395	1548	1522	1073
Zm00001eb031810.Zm_B73_REFERENCE_NAM_5.0.55	1	178113573	178117024	-	3452	759	944	1248	780
Zm00001eb031820.Zm_B73_REFERENCE_NAM_5.0.55	1	178118236	178128787	-	10552	394	586	594	368
Zm00001eb031830.Zm_B73_REFERENCE_NAM_5.0.55	1	178142759	178143831	-	1073	0	0	2	2
Zm00001eb031840.Zm_B73_REFERENCE_NAM_5.0.55	1	178325669	178328951	+	3283	272	136	466	287
